JM20190402_0005.abf, ,JM20190402_0012.abf, ,JM20190402_0019.abf, ,JM20190402_0026.abf, ,JM20190402_0033.abf, ,JM20190402_0040.abf, ,JM20190402_0048.abf, ,JM20190402_0055.abf, ,JM20190403_0006.abf, ,JM20190403_0013.abf, ,JM20190403_0020.abf, ,JM20190403_0028.abf, ,JM20190403_0035.abf, ,JM20190403_0077.abf, ,JM20211202_0000.abf, ,JM20211202_0001.abf, ,JM20211202_0002.abf, ,JM20211202_0003.abf, ,JM20211202_0005.abf, 
,,,,363.9676818847656,32,,,363.9792175292969,34,,,,,,,363.7525329589844,39,,,363.7570495605469,31,363.97540283203125,31,364.4998779296875,40,363.9635925292969,45,363.7888488769531,2,363.788330078125,12,363.63470458984375,21,363.6493225097656,10,363.6357421875,28,
,,,,,,,,384.7268371582031,34,,,,,,,383.88134765625,40,,,383.8768310546875,31,,,384.69366455078125,41,384.6841735839844,46,,,384.0347595214844,12,383.8725891113281,16,384.510986328125,11,384.4827575683594,29,
,,,,,,,,404.77093505859375,33,,,,,,,404.37725830078125,42,,,404.5693054199219,33,,,404.7698974609375,42,404.76177978515625,46,,,404.5922546386719,11,404.0445251464844,10,404.61102294921875,9,404.66094970703125,29,
,,,,,,,,,,,,,,,,424.6979675292969,42,,,424.6995544433594,33,,,424.89990234375,44,424.8908996582031,44,,,424.7068176269531,11,424.7725830078125,10,424.7242431640625,8,424.7706298828125,32,
,,,,,,,,,,,,,,,,444.8067321777344,42,,,444.9701843261719,32,,,445.6201171875,45,445.5849914550781,38,,,444.8139953613281,9,444.85284423828125,8,444.8272705078125,8,444.8338928222656,32,
,,,,,,,,,,,,,,,,464.9229431152344,42,,,465.0959167480469,28,,,465.8294982910156,45,,,,,465.5201110839844,8,,,465.57244873046875,6,465.5555114746094,34,
,,,,,,,,,,,,,,,,485.5246887207031,43,,,,,,,485.9397888183594,47,,,,,485.5604248046875,6,,,485.6103210449219,6,485.631103515625,35,
,,,,,,,,,,,,,,,,505.8141174316406,40,,,,,,,506.767578125,47,,,,,505.798828125,5,,,505.7607116699219,5,505.79278564453125,36,
,,,,,,,,,,,,,,,,,,,,,,,,526.6397094726562,48,,,,,,,,,,,526.3316040039062,37,
,,,,,,,,,,,,,,,,,,,,,,,,546.4271850585938,48,,,,,,,,,,,546.1426391601562,37,
,,,,,,,,,,,,,,,,,,,,,,,,566.5198974609375,45,,,,,,,,,,,566.323974609375,39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.2179565429688,38,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.8765869140625,36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.8887939453125,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.6519775390625,31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.2542724609375,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.2964477539062,22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.1109619140625,22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.0648193359375,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.6751708984375,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.5885009765625,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.9387817382812,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.63671875,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.7837524414062,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.8502807617188,10,
